OG_name	Fhon	LAan	LAce	LAdo	LAfl	LAko	LAla	LAni	LAnu	LMbe	LMbo	Laci	Lamy	Lapi	Lapn	Lbre	Lcri	Ldel	Lflo	Lfru	Lgas	Lhls	Lhlv	Ljoh	Lkef	Lkim	Lkul	Llin	Lmlf	Lmls	Lmlv	Loze	Lsan	Ppen	YH15	wB10	wkB8	
OG1.5_1031	2	2	2	2	2	2	2	2	2	2	2	6	3	0	2	4	1	0	0	0	2	0	11	2	1	0	0	0	1	1	0	2	0	1	2	0	0	
OG1.5_1032	1	1	1	1	1	1	1	1	1	1	1	5	4	1	1	3	2	1	1	2	2	1	11	2	1	1	1	1	1	1	1	1	1	2	1	1	1	
OG1.5_1033	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	1	1	1	2	1	1	7	1	1	1	1	1	0	0	1	2	1	1	2	1	1	
OG1.5_1034	1	1	1	1	1	1	1	1	1	1	1	4	4	1	1	7	1	1	1	2	1	1	8	2	2	1	1	1	1	1	1	1	0	1	1	1	1	
OG1.5_1035	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	6	1	1	1	2	1	2	5	1	1	2	2	1	2	2	2	1	1	1	1	2	2	
OG1.5_1036	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	4	1	1	2	4	1	2	7	2	2	1	1	2	1	1	2	1	1	2	1	1	1	
OG1.5_1037	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	48	0	6	0	0	0	0	0	0	0	0	0	0	0	0	
OG1.5_1038	1	1	1	1	1	1	1	1	1	1	1	4	4	1	1	3	1	1	1	2	1	1	11	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
OG1.5_1039	1	1	1	1	1	1	1	1	1	1	1	5	2	1	1	3	2	1	1	2	3	1	9	3	2	1	1	1	0	0	1	1	1	1	1	1	1	
OG1.5_1040	1	1	1	1	1	1	1	1	1	1	1	3	3	2	2	4	1	1	2	4	1	1	8	1	1	1	1	1	1	1	1	1	2	0	1	1	1	
OG1.5_1041	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	0	1	2	1	2	8	1	1	2	2	1	1	1	2	1	1	1	1	2	2	
OG1.5_1042	1	1	1	1	1	1	1	1	1	1	1	6	1	1	0	3	2	1	2	4	1	1	9	1	1	1	1	2	1	1	1	1	2	0	1	1	1	
OG1.5_1043	1	1	1	1	1	1	1	1	1	1	1	5	2	1	1	3	2	1	1	2	1	1	10	1	2	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1044	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	7	2	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1045	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	2	1	8	3	2	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1046	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	2	2	3	1	7	3	1	1	1	1	1	1	1	0	1	1	1	1	1	
OG1.5_1047	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	13	2	0	4	4	0	1	0	0	0	1	1	3	2	2	0	3	2	1	1	1	1	
OG1.5_1048	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	6	1	2	1	2	1	1	6	1	2	1	1	1	1	1	1	1	2	2	1	1	1	
OG1.5_1049	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	2	5	1	1	1	2	1	2	2	1	1	1	1	1	2	2	
OG1.5_1050	1	1	1	1	1	1	1	1	1	1	1	6	1	0	1	3	0	1	1	4	1	0	16	1	1	0	0	1	1	1	0	1	1	1	1	0	0	
OG1.5_1051	1	1	1	1	1	1	1	1	1	1	1	3	3	0	1	9	0	2	1	4	2	0	8	3	1	0	0	1	0	0	0	1	1	2	1	0	0	
OG1.5_1052	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	4	2	1	0	2	1	2	9	1	1	2	2	1	1	1	1	1	1	1	1	0	2	
OG1.5_1053	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	2	1	2	6	1	1	2	2	1	1	1	2	2	1	1	1	2	2	
OG1.5_1054	1	1	1	1	1	1	1	1	1	1	1	3	3	2	1	3	1	1	1	1	1	1	8	1	2	1	1	1	1	1	1	1	1	1	1	2	1	
OG1.5_1055	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	2	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1056	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	4	1	1	1	3	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1057	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	7	1	1	0	0	1	2	9	1	0	2	2	0	0	0	2	1	0	1	1	2	2	
OG1.5_1058	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1059	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1060	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	4	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1061	2	2	2	2	2	2	2	2	2	2	2	3	1	0	2	5	0	2	1	2	1	0	4	1	2	0	0	1	0	0	0	1	1	1	2	0	0	
OG1.5_1062	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1063	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1064	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	2	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1065	1	1	1	1	1	1	1	1	1	1	1	3	3	0	1	9	2	0	1	2	1	0	8	1	1	0	0	1	1	1	0	2	1	2	1	0	0	
OG1.5_1066	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1067	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1068	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	6	1	1	1	2	1	1	7	1	1	1	1	1	2	2	1	1	1	1	1	1	1	
OG1.5_1069	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	3	1	0	1	2	1	0	5	1	1	0	0	2	1	1	0	1	1	1	2	0	0	
OG1.5_1070	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	6	2	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
OG1.5_1071	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1072	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	4	2	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1073	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1074	1	1	1	1	1	1	1	1	1	1	1	3	2	2	1	4	1	2	1	2	0	2	3	0	0	2	2	1	3	3	2	0	0	0	1	2	2	
OG1.5_1075	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	2	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1076	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1077	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1078	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1079	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	2	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1080	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1081	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	5	1	2	1	0	1	1	7	1	1	1	2	1	2	2	1	1	1	1	1	1	1	
